   0.500	   0.000
   0.550	   0.000
   0.600	   0.000
   0.650	   0.000
   0.700	   0.000
   0.750	   0.000
   0.800	   0.000
   0.850	   0.000
   0.900	   0.000
   0.950	   0.000
   1.000	   0.000
   1.050	   0.000
   1.100	   0.000
   1.150	   0.000
   1.200	   0.000
   1.250	   0.000
   1.300	   0.000
   1.350	   0.000
   1.400	   0.001
   1.450	   0.016
   1.500	   0.072
   1.550	   0.190
   1.600	   0.415
   1.650	   0.799
   1.700	   1.292
   1.750	   1.687
   1.800	   1.918
   1.850	   2.017
   1.900	   1.986
   1.950	   1.858
   2.000	   1.807
   2.050	   1.655
   2.100	   1.444
   2.150	   1.216
   2.200	   1.039
   2.250	   0.908
   2.300	   0.809
   2.350	   0.671
   2.400	   0.643
   2.450	   0.562
   2.500	   0.530
   2.550	   0.493
   2.600	   0.475
   2.650	   0.443
   2.700	   0.444
   2.750	   0.480
   2.800	   0.525
   2.850	   0.561
   2.900	   0.610
   2.950	   0.710
   3.000	   0.780
   3.050	   0.860
   3.100	   0.969
   3.150	   1.069
   3.200	   1.128
   3.250	   1.182
   3.300	   1.236
   3.350	   1.258
   3.400	   1.268
   3.450	   1.230
   3.500	   1.229
   3.550	   1.214
   3.600	   1.195
   3.650	   1.179
   3.700	   1.181
   3.750	   1.179
   3.800	   1.165
   3.850	   1.169
   3.900	   1.194
   3.950	   1.191
   4.000	   1.187
   4.050	   1.184
   4.100	   1.177
   4.150	   1.192
   4.200	   1.202
   4.250	   1.201
   4.300	   1.211
   4.350	   1.195
   4.400	   1.201
   4.450	   1.208
   4.500	   1.197
   4.550	   1.181
   4.600	   1.183
   4.650	   1.182
   4.700	   1.167
   4.750	   1.169
   4.800	   1.184
   4.850	   1.199
   4.900	   1.233
   4.950	   1.269
   5.000	   1.296
   5.050	   1.310
   5.100	   1.313
   5.150	   1.300
   5.200	   1.272
   5.250	   1.265
   5.300	   1.217
   5.350	   1.179
   5.400	   1.160
   5.450	   1.138
   5.500	   1.117
   5.550	   1.095
   5.600	   1.067
   5.650	   1.046
   5.700	   1.046
   5.750	   1.037
   5.800	   1.034
   5.850	   1.015
   5.900	   0.999
   5.950	   0.980
   6.000	   0.953
   6.050	   0.932
   6.100	   0.921
   6.150	   0.924
   6.200	   0.911
   6.250	   0.897
   6.300	   0.882
   6.350	   0.861
   6.400	   0.846
   6.450	   0.825
   6.500	   0.818
   6.550	   0.800
   6.600	   0.796
   6.650	   0.776
   6.700	   0.760
   6.750	   0.741
   6.800	   0.722
   6.850	   0.710
   6.900	   0.694
   6.950	   0.669
   7.000	   0.658
